id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label
16548,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,53515,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773604631964,1773604631964,0,2,212,1773604631964,1773604631964,0,1,82,1773604631964,1773604631964,0,1,130,82,106.0,33.94112549695428,130,82,82.0,0.0,82,130,130.0,0.0,130,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_kerberos._tcp.fyp.lab,,,,,0
14375,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,60461,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773601910909,1773601910920,11,12,2575,1773601910909,1773601910920,11,7,1382,1773601910910,1773601910920,10,5,1193,60,214.5833333333333,168.55506698423696,617,60,197.42857142857144,199.0610100303064,617,66,238.6,132.1203996360895,366,0,1.0,1.4832396974191326,5,0,1.8333333333333333,1.7224014243685084,5,0,2.5,2.6457513110645907,6,2,1,2,0,11,8,1,0,1,1,1,0,6,4,1,0,1,0,1,0,5,4,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
4052,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,59842,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773589144126,1773589144126,0,2,231,1773589144126,1773589144126,0,1,86,1773589144126,1773589144126,0,1,145,86,115.5,41.71930009000631,145,86,86.0,0.0,86,145,145.0,0.0,145,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_ldap._tcp.fyp.lab.fyp.lab,,,,,0
22636,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,49841,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773611326532,1773611333622,7090,32,6395,1773611326532,1773611333622,7090,18,3920,1773611326532,1773611333622,7090,14,2475,60,199.84375000000003,283.6007085589901,1687,60,217.77777777777777,371.314763502303,1687,60,176.78571428571428,102.3599820929348,366,0,228.7096774193548,1261.906552101446,7028,0,417.0588235294117,1703.615107300804,7028,0,545.3846153846154,1955.9054824838177,7055,2,1,2,0,31,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
2909,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,61322,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773587556629,1773587564294,7665,2,172,1773587556629,1773587556629,0,1,86,1773587564294,1773587564294,0,1,86,86,86.0,0.0,86,86,86.0,0.0,86,86,86.0,0.0,86,7665,7665.0,0.0,7665,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,10.56.168.192.in-addr.arpa,,,,,0
15192,0,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,50412,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,49671,6,4,0,0,1773603467456,1773603478668,11212,13,2160,1773603467456,1773603478668,11212,7,1444,1773603467456,1773603478668,11212,6,716,60,166.15384615384616,223.8399153241166,878,60,206.2857142857143,304.6953201072148,878,60,119.33333333333331,62.91157816067458,182,0,934.3333333333331,3229.074292715916,11188,0,1868.6666666666667,4565.531367394891,11188,0,2242.4,5000.752073438554,11188,2,1,2,0,12,5,0,2,1,1,1,0,6,2,0,1,1,0,1,0,6,3,0,1,DCERPC,RPC,0,6,,,,,,0
15470,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,54647,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773603341579,1773603348803,7224,2,172,1773603341579,1773603341579,0,1,86,1773603348803,1773603348803,0,1,86,86,86.0,0.0,86,86,86.0,0.0,86,86,86.0,0.0,86,7224,7224.0,0.0,7224,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,10.56.168.192.in-addr.arpa,,,,,0
18404,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,62528,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773605310255,1773605320330,10075,32,6389,1773605310255,1773605320330,10075,17,3854,1773605310255,1773605320329,10074,15,2535,60,199.65625,282.5859400396002,1681,60,226.7058823529412,379.1458763961904,1681,60,168.99999999999997,103.1427582112703,366,0,324.99999999999994,1802.6591469271168,10038,0,629.6875,2508.886518457939,10038,0,719.5714285714286,2685.7719622051004,10051,2,1,2,0,31,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
3718,0,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,138,192.168.56.255,ff:ff:ff:ff:ff:ff,ff:ff:ff,138,17,4,0,0,1773588483740,1773588483740,0,1,243,1773588483740,1773588483740,0,1,243,0,0,0,0,0,243,243.0,0.0,243,243,243.0,0.0,243,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NETBIOS.SMBV1,System,0,6,svr1,,,,,0
6657,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,54548,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773592157899,1773592163012,5113,31,6022,1773592157899,1773592163012,5113,17,3793,1773592157899,1773592163011,5112,14,2229,60,194.25806451612905,288.40503552491765,1687,60,223.1176470588235,382.02942987958096,1687,60,159.21428571428575,99.54834818505844,366,0,170.43333333333334,923.8799997959628,5062,0,319.56249999999994,1264.662746545497,5062,0,393.2307692307692,1408.2111675127749,5080,2,1,2,0,30,22,1,0,1,1,1,0,16,11,1,0,1,0,1,0,14,11,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
