id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label,bytes_per_packet
9616,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,62758,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773596593853,1773596593853,0,2,160,1773596593853,1773596593853,0,1,72,1773596593853,1773596593853,0,1,88,72,80.0,11.31370849898476,88,72,72.0,0.0,72,88,88.0,0.0,88,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,dc01.fyp.lab,,,,,0,76.19047619047619
5023,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,53398,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773590172965,1773590183059,10094,30,5952,1773590172965,1773590183059,10094,17,3783,1773590172965,1773590183058,10093,13,2169,60,198.39999999999995,290.48290352683284,1677,60,222.52941176470588,379.6347121982951,1677,60,166.8461538461538,99.25879151142074,366,0,348.06896551724134,1864.9889683900944,10045,0,630.875,2510.4382851074693,10045,0,841.0833333333333,2903.212811487969,10060,2,1,2,0,29,22,1,0,1,1,1,0,16,11,1,0,1,0,1,0,13,11,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,197.74086378737542
9398,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,50307,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773595970882,1773595970882,0,2,239,1773595970882,1773595970882,0,1,90,1773595970882,1773595970882,0,1,149,90,119.5,41.71930009000631,149,90,90.0,0.0,90,149,149.0,0.0,149,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_kerberos._tcp.fyp.lab.fyp.lab,,,,,0,113.80952380952381
9181,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,56167,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773594916579,1773594924703,8124,31,6325,1773594916579,1773594924703,8124,17,3850,1773594916579,1773594924703,8124,14,2475,60,204.0322580645161,285.39837465911484,1677,60,226.4705882352941,378.18697717647865,1677,60,176.78571428571428,102.3599820929348,366,0,270.79999999999995,1473.2319947465255,8071,0,507.75,2016.878495761871,8071,0,624.9230769230769,2243.28466248113,8091,2,1,2,0,30,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,203.37620578778134
10212,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,57585,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773597205069,1773597215164,10095,34,6591,1773597205069,1773597215164,10095,18,3926,1773597205069,1773597215163,10094,16,2665,60,193.85294117647047,276.05896738909934,1687,60,218.1111111111111,371.1674568786327,1687,60,166.5625,100.1212390055177,366,0,305.90909090909093,1746.9082754189678,10037,0,593.8235294117648,2433.4586814679565,10037,0,672.9333333333334,2590.502639220722,10037,2,2,2,0,33,25,1,0,1,1,1,0,17,12,1,0,1,1,1,0,16,13,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,193.28445747800586
18203,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,63343,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773606657083,1773606659204,2121,31,6343,1773606657083,1773606659204,2121,17,3868,1773606657083,1773606659204,2121,14,2475,60,204.6129032258064,288.49652538859164,1695,60,227.52941176470583,382.5024701957915,1695,60,176.78571428571428,102.3599820929348,366,0,70.7,374.8360699163634,2055,0,132.56249999999997,512.7281240254591,2055,0,163.15384615384616,577.4784045246261,2085,2,1,2,0,30,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,203.95498392282957
12188,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,64672,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773598996126,1773598996127,1,2,239,1773598996126,1773598996126,0,1,90,1773598996127,1773598996127,0,1,149,90,119.5,41.71930009000631,149,90,90.0,0.0,90,149,149.0,0.0,149,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_kerberos._tcp.fyp.lab.fyp.lab,,,,,0,113.80952380952381
22187,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,65046,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773609631419,1773609631419,0,2,160,1773609631419,1773609631419,0,1,72,1773609631419,1773609631419,0,1,88,72,80.0,11.31370849898476,88,72,72.0,0.0,72,88,88.0,0.0,88,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,dc01.fyp.lab,,,,,0,76.19047619047619
8727,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,56530,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773595485776,1773595493862,8086,32,6416,1773595485776,1773595493862,8086,17,3881,1773595485776,1773595493861,8085,15,2535,60,200.5,287.1550104037887,1708,60,228.29411764705884,385.61991726081175,1708,60,168.99999999999997,103.1427582112703,366,0,260.83870967741933,1441.5352486561956,8028,0,505.375,2006.0474861445,8028,0,577.5,2151.316546818572,8052,2,1,2,0,31,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,199.8753894080997
5228,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,53765,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773590785592,1773590793703,8111,30,5962,1773590785592,1773590793703,8111,17,3793,1773590785593,1773590793703,8110,13,2169,60,198.7333333333334,292.2385578814741,1687,60,223.1176470588235,382.02942987958096,1687,60,166.8461538461538,99.25879151142074,366,0,279.68965517241384,1497.5238396253685,8066,0,506.9375,2015.754431761634,8066,0,675.8333333333334,2330.770876510147,8077,2,1,2,0,29,22,1,0,1,1,1,0,16,11,1,0,1,0,1,0,13,11,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,198.07308970099666
